id, rooms, area, price, lat, lon, date
1, 1, 20, 200100, 48.870808, 2.353689, 2016-01-15
2, 2, 40, 300000, 48.870808, 2.353689, 2016-03-23
3, 1, 23, 250000, 48.866660, 2.352403, 2016-06-11
4, 2, 35, 290000, 48.870808, 2.352403, 2016-02-22
5, 4, 60, 500000, 48.866312, 2.349088, 2016-03-25
6, 3, 30, 400000, 48.865892, 2.354558, 2016-01-20
7, 3, 30, 350000, 48.766758, 2.250745, 2017-06-10
8, 3, 30, 350000, 48.767405, 2.249736, 2017-06-10
9, 2, 20, 150000, 48.768024, 2.250138, 2017-06-10
10, 2, 20, 150000, 48.768572, 2.249661, 2017-06-10
11, 5, 50, 800000, 48.768354, 2.247548, 2017-06-10

